Name,Team,Pos,GP,G,A,P,PlusMinus,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,AvR,
Matt Grzelcyk,Boston,LD,71,4,19,23,-26,28,0,2,2,0,0,0,1,0,0,0,116,3.4,28,29,47,0,77,9,0,1,0,0,0,0,18:50,0:53,0:19,63,89,0,6.96,
Stephen Johns,Dallas,RD,82,4,19,23,-38,61,1,1,2,0,0,0,0,0,0,0,70,5.7,112,47,151,0,150,23,1,1,0,0,1,0,20:56,0:17,1:54,68,106,0,6.45,
Nicolas Hague,Chicago,LD,60,3,20,23,-1,24,1,0,1,0,0,0,1,0,0,0,58,5.2,16,31,63,0,66,12,0,0,0,0,0,0,19:22,0:37,0:15,72,73,0,6.48,
Darnell Nurse,Dallas,LD/RD,56,3,20,23,-13,42,2,2,4,0,0,0,0,0,1,0,51,5.9,35,30,148,0,86,21,0,0,0,0,0,0,19:03,0:42,0:22,57,70,0,6.73,
Nick Holden,Vegas,LD/RD,80,1,22,23,-10,40,1,1,2,0,0,0,1,0,0,0,72,1.4,67,46,117,0,155,20,0,0,0,0,0,0,22:18,0:13,2:16,90,100,0,6.47,
Steven Santini,Nashville,RD,82,0,23,23,-10,70,0,1,1,0,0,0,0,0,0,0,55,0.0,91,35,120,0,191,35,0,0,0,0,0,0,20:01,0:07,2:25,78,88,0,6.76,
Carl Grundström,Winnipeg,LW/RW,76,11,11,22,-22,0,0,0,0,0,0,0,1,0,0,0,127,8.7,14,10,17,0,45,0,0,0,0,0,0,0,12:18,0:00,0:00,35,57,1,6.70,
Justin Williams,Tampa Bay,RW,63,10,12,22,1,10,0,0,0,0,0,0,1,0,1,0,83,12.0,32,8,6,0,19,5,0,0,0,0,0,0,11:42,0:01,0:00,34,33,0,6.95,
Jeremy Bracco,Toronto,RW,50,9,13,22,7,8,0,0,0,0,0,0,0,0,0,0,67,13.4,23,6,0,0,6,4,0,0,0,0,0,0,11:58,0:00,0:00,32,25,1,7.10,
Conor Garland,Arizona,RW,58,8,14,22,-21,8,2,0,2,0,0,0,0,0,1,0,85,9.4,11,10,3,0,33,4,0,0,0,0,0,0,13:15,0:09,0:00,28,49,2,6.78,
Pär Lindholm,Providence,C/LW,44,8,14,22,-3,12,3,2,5,0,0,0,1,0,1,0,82,9.8,20,12,14,0.57,23,6,0,0,0,0,0,0,14:15,1:49,0:00,19,22,1,6.93,
Mark Jankowski,Calgary,C,76,7,15,22,-22,91,0,0,0,0,0,0,0,0,1,0,63,11.1,108,6,19,0.56,31,43,1,0,0,0,0,0,10:47,0:01,0:00,32,54,0,6.53,
Kale Clague,Los Angeles,LD,70,4,18,22,-32,24,0,6,6,0,1,1,0,0,1,0,54,7.4,9,31,20,0,106,12,0,0,0,0,0,0,20:39,1:40,1:21,56,88,0,6.50,
Justin Braun,Buffalo,RD,68,4,18,22,-6,28,0,0,0,0,0,0,0,0,0,0,61,6.6,19,37,118,0,113,9,0,1,0,0,0,0,19:26,0:03,0:46,79,85,1,6.69,
Oliver Kylington,Calgary,LD/RD,79,3,19,22,-30,38,1,3,4,0,0,0,0,0,0,0,89,3.4,55,21,15,0,71,19,0,0,0,0,0,0,15:00,0:55,0:27,66,96,0,6.86,
Noah Hanifin,Calgary,LD,79,3,19,22,-33,39,2,1,3,0,1,1,0,0,0,0,117,2.6,153,54,164,0,239,17,1,0,0,0,0,0,25:24,1:02,3:52,97,130,0,7.18,
Mark Pysyk,Ottawa,LD/RD,82,2,20,22,-31,62,1,1,2,0,0,0,0,0,0,0,86,2.3,43,57,143,0,117,21,0,2,0,0,0,0,19:13,0:43,0:43,69,100,0,6.60,
Calvin De Haan,New Jersey,LD/RD,69,1,21,22,-4,16,0,1,1,0,0,0,0,0,0,0,62,1.6,67,42,171,0,182,8,0,0,0,0,0,0,21:11,0:31,3:08,60,64,0,6.91,
Andrew Mangiapane,Calgary,LW,45,10,11,21,-8,4,0,0,0,0,0,0,1,1,0,0,44,22.7,32,7,4,0.00,14,2,0,0,0,0,0,0,10:21,0:00,0:00,26,34,0,6.98,
Ty Dellandrea,Texas,C,63,10,11,21,-35,10,0,0,0,0,0,0,3,0,2,0,77,13.0,32,20,37,0.50,27,5,0,0,0,0,0,0,12:51,0:00,0:01,30,65,0,6.35,
Jujhar Khaira,NY Rangers,C/LW,65,10,11,21,-15,34,0,0,0,0,0,0,2,0,1,0,85,11.8,38,13,29,0.35,34,12,0,1,0,0,0,0,13:25,0:00,0:29,32,47,1,6.40,
Jake Gardiner,Boston,LD/RD,70,3,18,21,-7,20,0,1,1,0,0,0,0,0,0,0,82,3.7,44,30,112,0,108,10,0,0,0,0,0,0,20:13,0:15,1:54,59,66,0,6.93,
Rasmus Andersson,Pittsburgh,RD,71,1,20,21,-7,20,0,4,4,0,0,0,0,0,0,0,99,1.0,124,24,43,0,93,10,0,0,0,0,0,0,18:51,0:58,0:01,79,86,0,7.13,
Marco Scandella,Detroit,LD,82,1,20,21,-16,20,0,1,1,0,0,0,0,0,0,0,53,1.9,47,37,198,0,110,10,0,0,0,0,0,0,16:39,0:38,0:51,76,92,0,6.74,
Michael McLeod,Binghamton,C,72,10,10,20,-35,22,0,0,0,0,0,0,1,0,2,0,76,13.2,35,10,16,0.47,58,11,0,0,0,0,0,0,12:50,0:00,0:00,33,68,1,6.13,
Andrew Shaw,Los Angeles,RW/C,50,9,11,20,-26,18,0,1,1,0,0,0,2,0,2,0,54,16.7,40,11,26,0.15,48,9,0,0,0,0,0,0,14:55,0:14,1:20,32,58,1,6.40,
Brett Leason,Washington,C/RW,54,7,13,20,-19,8,0,0,0,0,0,0,0,0,2,0,57,12.3,7,3,25,0.45,17,4,0,0,0,0,0,0,12:27,0:00,0:00,31,50,0,6.00,
Joe Hicketts,Detroit,RD/LD,70,4,16,20,-38,18,0,1,1,0,0,0,0,0,1,0,63,6.3,11,16,23,0,64,9,0,0,0,0,0,0,14:57,0:44,0:03,54,92,0,6.80,
Dante Fabbro,Nashville,RD,82,1,19,20,-4,18,0,2,2,0,0,0,0,0,0,0,83,1.2,96,35,102,0,101,9,0,0,0,0,0,0,18:57,0:33,0:18,82,86,0,7.02,
Nathan Beaulieu,Winnipeg,LD/RD,82,0,20,20,-11,28,0,0,0,0,0,0,0,0,0,0,68,0.0,16,32,121,0,80,14,0,0,0,0,0,0,15:19,0:00,0:05,71,82,0,6.93,
