Name,Team,Pos,GP,G,A,P,+/-,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh ,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,Av R,
Jacob Perreault,New Jersey,RW,82,17,27,44,-3,12,0,0,0,0,0,0,3,0,4,0,135,12.6,8,19,12,0.11,55,6,0,0,0,0,0,0,14:00,0:00,0:00,65,68,0,6.82,
John Beecher,Boston,C,82,16,28,44,-16,12,0,1,1,1,0,1,2,0,3,0,124,12.9,21,10,142,0.53,63,6,0,0,0,0,0,0,14:29,0:05,0:52,61,77,1,6.59,
Jesper Virkkunen,Los Angeles,LW,82,15,29,44,-19,2,1,2,3,0,0,0,3,0,2,0,204,7.4,30,20,195,0.03,81,1,0,0,0,0,0,0,15:21,0:49,1:05,58,77,3,7.01,
Alexander Campbell,Nashville,C,82,15,29,44,-49,6,0,1,1,0,0,0,0,1,1,0,113,13.3,7,10,8,0.37,27,3,0,0,0,0,0,0,15:10,0:24,0:00,67,116,0,5.79,
Jonathan Marchessault,New Jersey,LW/RW,71,14,30,44,-21,22,2,1,3,0,0,0,0,0,1,0,98,14.3,14,12,10,0.50,34,11,0,0,0,0,0,0,14:36,0:41,0:00,49,70,1,7.03,
Colton Parayko,Arizona,RD,79,14,30,44,20,32,1,8,9,0,0,0,1,0,0,0,194,7.2,44,48,236,0,124,11,0,1,0,0,0,0,23:49,1:31,0:59,121,101,1,7.52,
Matthew Tkachuk,Calgary,LW,79,14,30,44,-50,81,3,4,7,2,0,2,1,0,3,0,130,10.8,186,21,55,0.14,62,28,1,1,1,0,0,0,16:27,0:56,2:10,43,93,0,7.08,
Filip Chytil,Detroit,C,82,13,31,44,-24,22,0,0,0,0,0,0,0,1,0,0,112,11.6,12,22,37,0.42,69,11,0,0,0,0,0,0,15:51,0:00,0:01,82,106,0,6.50,
Joonas Donskoi,San Jose,RW/LW,82,9,35,44,-19,2,0,0,0,0,0,0,1,0,3,0,138,6.5,17,11,45,0,36,1,0,0,0,0,0,0,13:23,0:00,0:00,61,80,1,7.22,
Torey Krug,Buffalo,LD/RD,82,6,38,44,3,44,1,5,6,0,0,0,1,0,0,0,167,3.6,13,24,152,0,144,17,0,1,0,0,0,0,24:19,1:25,0:37,118,115,1,7.44,
