Name,Team,Pos,GP,G,A,P,PlusMinus,PIM,PPg,PPa,PPp,SHg,SHa,SHp,GWG,GT,FG,EN,SOG,Sh ,HT,GA,TA,FO,SB,2,5,Mi,Ma,GM,FI,FW,ATOI,APPT,APKT,+,-,FS,AvR,
Calle Rosén,Buffalo,LD,30,1,6,7,18,2,0,0,0,0,0,0,0,0,0,0,30,3.3,4,8,8,0,32,1,0,0,0,0,0,0,15:05,0:00,0:02,37,19,0,7.03,
Colton White,New Jersey,LD,28,1,6,7,-17,4,0,0,0,0,0,0,0,0,0,0,17,5.9,1,10,34,0,40,2,0,0,0,0,0,0,18:46,0:00,0:33,29,46,0,6.25,
Aleksi Saarela,NY Islanders,C/LW,12,4,2,6,3,0,0,0,0,0,0,0,0,0,0,0,29,13.8,5,1,0,0,8,0,0,0,0,0,0,0,12:49,0:00,0:00,10,7,0,7.42,
Aina Mortas,Laval,LW,5,2,4,6,-1,0,0,0,0,0,0,0,0,0,0,0,14,14.3,0,1,1,0,1,0,0,0,0,0,0,0,14:43,0:00,0:00,6,7,0,7.80,
Victor Olofsson,New Jersey,RW/LW,13,2,4,6,-1,2,0,0,0,0,0,0,0,0,0,0,23,8.7,1,6,1,0,2,1,0,0,0,0,0,0,13:07,0:18,0:00,8,9,0,6.85,
Ivan Barbashev,St. Louis,C/LW,9,2,4,6,8,12,0,0,0,0,0,0,0,0,0,0,14,14.3,1,0,2,0.61,1,1,0,1,0,0,0,0,14:26,0:33,0:00,12,4,0,6.89,
Jay O'Brien,Chicago,C,21,2,4,6,-14,20,0,0,0,0,0,0,0,0,0,0,25,8.0,14,2,1,0.41,17,5,0,1,0,0,0,0,13:32,0:00,0:25,7,21,0,5.95,
Alex Newhook,Colorado,C,22,1,5,6,-5,0,0,0,0,0,0,0,1,0,1,0,50,2.0,4,4,16,0.39,9,0,0,0,0,0,0,0,12:51,0:00,0:00,10,15,0,6.50,
Isaac Ratcliffe,Vegas,LW,29,1,5,6,-19,16,0,0,0,0,0,0,0,0,0,0,32,3.1,43,5,5,0.00,30,8,0,0,0,0,0,0,14:14,0:00,1:28,11,30,0,6.41,
Benoit-Olivier Groulx,Binghamton,C,20,1,5,6,-20,26,0,0,0,0,0,0,0,0,0,0,33,3.0,11,5,31,0.35,16,8,0,1,0,0,0,0,16:00,0:09,0:51,8,28,0,5.75,
